N,P,K,temperature,humidity,ph,rainfall,crop
77.43587675203561,48.36066760919087,54.49532389017274,31.640379499851107,79.29679438931906,6.992030393030827,249.14386014930358,Rice
20.582912114588588,30.347647026920274,16.3188879246228,12.17197428526597,71.60602414278132,6.752691524734168,90.21886449224299,Apple
26.75961039047803,39.464700505970676,81.81349208990407,17.021514969550868,51.54272696007695,7.998172488039062,71.45782008761884,Chickpea
24.372019328908916,12.370484938882097,17.93470910338696,23.50424601145772,78.60515531290385,6.155986529356761,82.18265164974287,Papaya
25.856305699751065,12.297296930205135,17.678355988744556,29.147872911722768,64.02208959781746,6.6785754961973876,67.54763343499582,Orange
29.94631972812853,10.372814525602367,19.69049103357842,28.147474935965008,60.02857814190472,6.64358467734113,58.930418177041446,Orange
42.96095134632752,14.962868433262472,19.732338600004198,25.40471096384049,85.1469505283199,6.612291464875616,265.4508401216264,Jute
49.88355780723903,58.68206402785423,35.88531959128876,33.46363144120518,64.3700933533183,5.587297069694758,113.06058635943705,Mango
28.411960454562834,12.900136014683453,11.31671734392607,27.220464853158035,69.8418171085884,6.405187446670802,68.87824083371515,Orange
32.80422364646874,72.9203807687374,18.512091347666747,19.71717162554148,50.61120884944775,6.68429679561495,46.10925782684531,Lentil
23.382578240337264,10.163290377981989,12.189659163787232,21.125750422198337,73.77039000216085,5.567555495113106,101.63803943125419,Papaya
22.297100768274934,60.56925378982057,19.674314874218968,32.292846213536144,49.532343223684734,6.882763047026271,49.2748356365744,MothBeans
80.27990959642545,58.99516009289405,37.565527239650265,24.885953608981936,61.11319376014069,6.971474733827529,92.95997958277187,Maize
79.96959234299769,43.782786059342726,57.69293172110066,30.69041624557181,74.03217203056413,5.5659090619247955,275.18651140595676,Rice
21.73360362820757,19.041918142195293,15.944071125337327,21.254980515309708,79.83293711694316,5.6356129344883925,96.9396715070896,Papaya
36.79706651552443,21.066562994167406,21.40110454112175,32.17867099593882,54.84162733948107,6.867963244487207,59.0095416373841,Cotton
32.77327797380145,70.74585287182369,38.12032155209829,22.16033640068413,54.06337809065156,6.400835482682991,40.826935941169445,Pomegranate
31.60771767096222,48.245917308149224,30.89853370268517,28.001730835338773,66.29960285473892,6.425417159081902,101.57863709023275,Mango
